epoch,train_loss,val_loss,val_y_L1_px,time_s,saved
1,0.993205,0.272304,0.5322,12.79,1
2,0.247556,0.219497,0.4258,14.00,1
3,0.206208,0.187724,0.3601,14.39,1
4,0.182640,0.179478,0.3415,14.20,1
5,0.168338,0.199499,0.3736,14.34,0
6,0.151560,0.148497,0.2831,13.73,1
7,0.139573,0.159271,0.2932,13.11,0
8,0.134725,0.130865,0.2493,13.27,1
9,0.126152,0.117878,0.2237,14.54,1
10,0.120996,0.112549,0.2142,16.75,1
11,0.116715,0.111827,0.2128,20.60,1
12,0.110625,0.109592,0.2086,20.60,1
13,0.109839,0.106243,0.2032,22.85,1
14,0.108436,0.112613,0.2151,23.43,0
15,0.103277,0.102578,0.1955,23.19,1
16,0.103406,0.102710,0.1950,22.91,0
17,0.101609,0.108466,0.2048,24.80,0
18,0.100228,0.096656,0.1842,25.23,1
19,0.097395,0.100804,0.1922,25.46,0
20,0.096567,0.097851,0.1864,25.45,0
21,0.096203,0.097409,0.1854,25.82,0
22,0.092942,0.092342,0.1761,25.96,1
23,0.094125,0.101414,0.1932,25.51,0
24,0.089076,0.092530,0.1768,26.13,0
25,0.090422,0.096125,0.1812,25.44,0
26,0.088374,0.095282,0.1818,26.34,0
27,0.088438,0.093938,0.1790,25.67,0
28,0.086873,0.088986,0.1696,26.00,1
29,0.085298,0.085875,0.1639,25.99,1
30,0.085327,0.086668,0.1655,25.74,0
31,0.084553,0.091342,0.1743,25.61,0
32,0.083985,0.086787,0.1658,25.70,0
33,0.082456,0.088202,0.1688,26.09,0
34,0.081657,0.088588,0.1694,25.60,0
35,0.081880,0.085241,0.1631,26.01,1
36,0.081718,0.087085,0.1664,24.69,0
37,0.080274,0.088085,0.1682,25.56,0
38,0.079718,0.083997,0.1606,25.31,1
39,0.079118,0.082797,0.1585,23.08,1
40,0.079146,0.085277,0.1634,23.56,0
41,0.078210,0.082126,0.1573,23.35,1
42,0.078284,0.081395,0.1559,48.49,1
43,0.077382,0.082083,0.1572,26.12,0
